title,summary,description,start_datetime,end_datetime,timezone,all_day,modality,country_code,city,venue_name,address,latitude,longitude,registration_url,livestream_url,organizer_name,affiliation,contact_person,contact_email,contact_phone,languages,accessibility,audience,cost_type,cost_amount,currency,cover_image_url,tags,campaign_id,verification,status
"International Zero Waste Month Kickoff Summit","Launch event for IZWM 2025 with global leaders and changemakers","Join us for the grand opening of International Zero Waste Month 2025! This 2-day summit features keynote addresses from environmental ministers, breakthrough circular economy initiatives, and networking with 1000+ participants from 40+ countries. Topics include policy innovation, corporate sustainability, community action, and youth leadership. Virtual attendance available.",2025-01-15T08:00:00Z,2025-01-16T18:00:00Z,Asia/Manila,false,hybrid,PH,Manila,World Trade Center Metro Manila,"Roxas Boulevard, Pasay City",14.535840,120.982900,https://example.com/izwm-summit,https://stream.example.com/izwm-summit,GAIA Asia Pacific,GAIA Member,Dr. Maria Santos,maria@gaia-asiapacific.org,+63-2-8123-4567,"{English,Filipino,Indonesian,Japanese,Korean}","{wheelchair-accessible,live-captioning,sign-language,quiet-room}","{professionals,policymakers,advocates,students}",paid,3000,PHP,https://images.unsplash.com/photo-1540575467063-178a50c2df87,"{summit,international,policy,networking}",izwm-2025,verified_gaia,published
"Zero Waste Cities Workshop Series","4-week intensive training for municipal leaders on zero waste implementation","Comprehensive workshop series designed for city officials, urban planners, and waste management professionals. Learn proven strategies for transitioning your city to zero waste. Topics: waste audits, policy frameworks, public engagement, procurement policies, and measuring success. Includes site visits to successful zero waste communities and ongoing mentorship.",2025-01-20T09:00:00Z,2025-02-10T17:00:00Z,Asia/Jakarta,false,in_person,ID,Jakarta,Ministry of Environment Building,"Jl. D.I. Panjaitan, Jakarta Timur",-6.223340,106.862770,https://example.com/zw-cities-workshop,,Indonesia Zero Waste Cities Alliance,GAIA Member,Budi Santoso,budi@zwcities-id.org,+62-21-8765-4321,"{Indonesian,English}","{wheelchair-accessible}","{professionals,policymakers,government-officials}",paid,5000000,IDR,https://images.unsplash.com/photo-1573164713714-d95e436ab8d6,"{training,cities,policy,professional}",izwm-2025,verified_gaia,published
"Community Zero Waste Challenge 2025","Month-long challenge to help 10000 households reduce waste by 50%","Join thousands of households across Asia in the Community Zero Waste Challenge! Over 4 weeks, learn practical skills through weekly webinars, receive a zero waste starter kit, participate in community swap events, and compete for prizes. Topics include: composting, plastic-free shopping, repair & reuse, and advocacy. Family-friendly activities every weekend.",2025-01-22T00:00:00Z,2025-02-22T23:59:59Z,Asia/Singapore,true,hybrid,SG,Singapore,,,1.352083,103.819839,https://example.com/zw-challenge,https://zoom.us/j/zwchallenge,Zero Waste SG,Ally/Partner,Rachel Tan,rachel@zerowastesg.org,+65-6123-4567,"{English,Mandarin,Malay,Tamil}","{live-captioning,recorded-sessions}","{families,beginners,all-ages}",free,0,SGD,https://images.unsplash.com/photo-1532996122724-e3c354a0b15b,"{community,challenge,family-friendly,online}",izwm-2025,verified_org,published
"University Zero Waste Innovation Competition","Student teams compete to design circular economy solutions","Call for student innovators! Design products, services, or systems that advance zero waste goals. Categories: product design, business models, technology solutions, and community programs. Finalists receive mentorship from industry experts, present at the IZWM Summit, and compete for $50000 in prizes. Open to undergraduate and graduate students.",2025-01-10T00:00:00Z,2025-02-28T23:59:59Z,Asia/Bangkok,true,online,TH,Bangkok,,,13.736717,100.523186,https://example.com/zw-innovation,,Asia Zero Waste Alliance,Public,Dr. Somchai Patel,somchai@azwa.org,+66-2-234-5678,"{English,Thai}","{live-captioning}","{students,researchers,entrepreneurs}",free,0,THB,https://images.unsplash.com/photo-1523050854058-8df90110c9f1,"{competition,students,innovation,prizes}",izwm-2025,community,published
"Circular Fashion Revolution Festival","3-day celebration of sustainable fashion and textile circularity","Experience the future of fashion! This festival features: clothing swap for 5000+ items, repair café with expert tailors, upcycling workshops, sustainable fashion show, talks from ethical brands, and a marketplace with 100+ zero waste vendors. Learn about textile recycling, natural dyes, and closing the loop on fashion waste. All ages welcome!",2025-02-14T10:00:00Z,2025-02-16T20:00:00Z,Asia/Kuala_Lumpur,false,in_person,MY,Kuala Lumpur,Pavilion KL Shopping Mall,"Jalan Bukit Bintang, Kuala Lumpur",3.149510,101.713060,https://example.com/fashion-fest,,Fashion Revolution Malaysia,Ally/Partner,Aisha Rahman,aisha@fashionrev.my,+60-3-2345-6789,"{English,Malay}","{wheelchair-accessible,family-facilities}","{all-ages,families,fashion-enthusiasts}",free,0,MYR,https://images.unsplash.com/photo-1489987707025-afc232f7ea0f,"{fashion,festival,upcycling,marketplace}",izwm-2025,verified_org,published
"Plastic Free July Launch Day","Kickoff celebration with pledges, workshops, and plastic-free marketplace","Start your Plastic Free July journey with a bang! Join hundreds of participants for workshops on alternatives to single-use plastics, cooking demos for zero waste meals, DIY workshops for making reusable products, kids' activities, live music, and a marketplace featuring 50+ plastic-free vendors. Take the plastic-free pledge and receive a starter kit!",2025-07-01T10:00:00Z,2025-07-01T18:00:00Z,Asia/Manila,false,in_person,PH,Quezon City,Quezon Memorial Circle,"Elliptical Road, Quezon City",14.650900,121.050000,https://example.com/pfj-launch,,Plastic Free Philippines,Ally/Partner,Elena Cruz,elena@plasticfreeph.org,+63-917-345-6789,"{English,Filipino}","{wheelchair-accessible,family-friendly}","{all-ages,families,beginners}",free,0,PHP,https://images.unsplash.com/photo-1559827260-dc66d52bef19,"{plastic-free,festival,family-friendly,marketplace}",plastic-free-july,verified_org,published
"Plastic Free Business Transformation Bootcamp","Intensive 2-day bootcamp for businesses eliminating plastic packaging","Help your business go plastic-free! This bootcamp covers: plastic audit methodology, alternative materials sourcing, redesigning packaging, supplier negotiations, customer communication, and regulatory compliance. Case studies from businesses that successfully eliminated plastic. Includes 6-month implementation support and certification.",2025-07-10T09:00:00Z,2025-07-11T17:00:00Z,Asia/Jakarta,false,in_person,ID,Jakarta,JHL Solitaire Hotel,"Jl. Letjen MT Haryono, Jakarta Selatan",-6.254340,106.854220,https://example.com/pfj-business,,Sustainable Business Indonesia,Public,Dewi Kusuma,dewi@sustainbiz-id.org,+62-21-5678-9012,"{Indonesian,English}","{wheelchair-accessible}","{professionals,business-owners,entrepreneurs}",paid,3500000,IDR,https://images.unsplash.com/photo-1552664730-d307ca884978,"{business,training,plastic-free,professional}",plastic-free-july,community,published
"Plastic Free Schools Challenge","Month-long program engaging 500 schools to eliminate single-use plastics","Get your school plastic-free! This challenge provides resources for schools to: conduct waste audits, implement plastic-free lunch programs, organize student-led campaigns, and celebrate achievements. Weekly webinars for teachers, activity kits for students, parent engagement resources, and recognition awards. Track your school's impact!",2025-07-01T00:00:00Z,2025-07-31T23:59:59Z,Asia/Singapore,true,online,SG,Singapore,,,1.352083,103.819839,https://example.com/pfj-schools,https://zoom.us/j/pfjschools,Eco Schools Asia,Public,Jennifer Lee,jennifer@ecoschools.asia,+65-8234-5678,"{English,Mandarin}","{live-captioning,recorded-sessions,printable-resources}","{students,teachers,school-administrators}",free,0,SGD,https://images.unsplash.com/photo-1503454537195-1dcabb73ffb9,"{schools,education,youth,challenge}",plastic-free-july,community,published
"Ocean Cleanup & Beach Festival","Massive coastal cleanup combined with ocean conservation education festival","Join the region's largest beach cleanup event! 2000+ volunteers will clean 15 beaches simultaneously while learning about ocean conservation. After the cleanup: marine biodiversity exhibits, ocean conservation talks, sustainable seafood cooking demos, beach games for kids, and live music. All waste will be audited and recycled.",2025-07-20T06:00:00Z,2025-07-20T14:00:00Z,Asia/Bangkok,false,in_person,TH,Pattaya,Pattaya Beach,"Pattaya City, Chonburi",12.927608,100.876617,https://example.com/ocean-cleanup,,Ocean Conservancy Thailand,Ally/Partner,Niran Sombat,niran@oceanconserve-th.org,+66-2-345-6789,"{Thai,English}","{wheelchair-accessible,family-friendly}","{all-ages,families,volunteers}",free,0,THB,https://images.unsplash.com/photo-1621451537084-482c73073a0f,"{cleanup,ocean,community,family-friendly}",plastic-free-july,verified_org,published
"DIY Zero Waste Products Workshop Series","Weekly hands-on workshops to make your own plastic-free essentials","Learn to make your own zero waste products! Four weekly workshops covering: Week 1 - Natural cleaning products; Week 2 - Personal care items (deodorant, toothpaste); Week 3 - Kitchen essentials (beeswax wraps, produce bags); Week 4 - Gift wrapping & party supplies. All materials included. Take home 20+ products!",2025-07-05T14:00:00Z,2025-07-26T16:00:00Z,Asia/Kuala_Lumpur,false,hybrid,MY,Petaling Jaya,The Hive Bulk Foods,"Jalan SS2, Petaling Jaya",3.124950,101.618350,https://example.com/diy-workshops,https://zoom.us/j/diyworkshops,Zero Waste Malaysia,Public,Priya Sharma,priya@zerowastemy.org,+60-3-7890-1234,"{English,Malay,Mandarin}","{wheelchair-accessible,live-captioning}","{adults,beginners}",paid,200,MYR,https://images.unsplash.com/photo-1610627386356-7b663235df8a,"{workshop,diy,hands-on,plastic-free}",plastic-free-july,community,published
